academy_id, academy_name, road_address, building, address, sido, sigungu, dong, zip_code, latitude, longitude
8307,지앤조학원, 경기 고양시 일산서구 대화로 115, , 경기 고양시 일산서구 대화동 1463-1, 경기, 고양시 일산서구, 송포동, 411802, 126.73346790234109, 37.66970073006056
8308,지앤조학원, 경기 파주시 청석로 302, 청석마을대원효성아파트, 경기 파주시 다율동 986, 경기, 파주시, 교하동, 413080, 126.71810999078889, 37.728858941912584
8309,지앤지학원, 경기 김포시 풍무로 105, , 경기 김포시 풍무동 107-7, 경기, 김포시, 풍무동, 415808, 126.72186280931693, 37.60484644938308
8310,지에이피영어학원, 경기 하남시 미사강변대로 216, 한강트윈프라자2, 경기 하남시 망월동 968, 경기, 하남시, , , 127.18451945300244, 37.56898307746171
8311,지엔수학학원, 경기 파주시 금빛로 24-28, 우성메디피아, 경기 파주시 금촌동 989-6, 경기, 파주시, 금촌2동, 413826, 126.76827313849851, 37.75165458026132
8312,지엔에스영어수학전문학원, 경기 수원시 권선구 삼천병마로 1579, , 경기 수원시 권선구 오목천동 472-24, 경기, 수원시 권선구, 평동, 441850, 126.963316652824, 37.243600932941646
8313,지엔탑보습학원, 경기 안양시 만안구 장내로 63, , 경기 안양시 만안구 안양동 710-37, 경기, 안양시 만안구, 안양3동, 430855, 126.91589393278436, 37.39417549202328
8314,지엘보습학원, 경기 시흥시 상직길 3, 연성대학학원, 경기 시흥시 하상동 380-1, 경기, 시흥시, 연성동, 429270, 126.8125669452751, 37.39064018269957
8315,지엠에스(GMS)학원, 경기 의정부시 오목로225번길 140, , 경기 의정부시 민락동 805-2, 경기, 의정부시, 송산2동, 480090, 127.09488550116151, 37.745029262072975
8316,지엠에스수학학원, 경기 오산시 오산로160번길 7, 원동G MATE, 경기 오산시 원동 345-12, 경기, 오산시, 대원동, 447805, 127.06961217272658, 37.14144279803552
8317,지엠에스학원, 경기 화성시 동탄반석로 212, 화성동탄 센터타워, 경기 화성시 반송동 86-2, 경기, 화성시, 동탄1동, 445160, 127.07324135066338, 37.20723569433899
8318,지엠에이개념원리국제수학전문장안제일학원, 경기 수원시 장안구 대평로90번길 8, 한빛프라자, 경기 수원시 장안구 정자동 877-2, 경기, 수원시 장안구, 정자3동, 440841, 126.9933818484076, 37.296173177643546
8319,지엠에이개념원리수학박달제일학원, 경기 안양시 만안구 박달로 488, 도원프라자, 경기 안양시 만안구 박달동 94-143, 경기, 안양시 만안구, 박달2동, 430847, 126.90676809625067, 37.40232469438778
8320,지엠에이개념원리수학은행제일보습학원, 경기 성남시 중원구 자혜로 40, 삼복빌딩, 경기 성남시 중원구 금광동 3324, 경기, 성남시 중원구, 금광2동, 462804, 127.1639256220677, 37.45031524331777
8321,지엠에이개념원리수학풍동학원, 경기 고양시 일산동구 숲속마을로 48, 신성프라자, 경기 고양시 일산동구 풍동 1280, 경기, 고양시 일산동구, 풍산동, 410330, 126.79790920005297, 37.66743574572005
8322,지엠티수학학원, 경기 고양시 일산서구 대산로 113, 백마프라자, 경기 고양시 일산서구 주엽동 51-1, 경기, 고양시 일산서구, 주엽1동, 411848, 126.76451177193042, 37.67382479962781
8323,지오스영재학원, 경기 의정부시 용민로 102, 지삼빌딩, 경기 의정부시 민락동 744-3, 경기, 의정부시, 송산2동, 480863, 127.0892682413998, 37.73859352490392
8324,지오엠수학전문이학원, 경기 수원시 영통구 영통로 136, 센트럴타워, 경기 수원시 영통구 망포동 386, 경기, 수원시 영통구, 태장동, 443400, 127.05630464362547, 37.23961781649707
8325,지오엠수학전문학원, 경기 수원시 영통구 영통로 136, 센트럴타워, 경기 수원시 영통구 망포동 386, 경기, 수원시 영통구, 태장동, 443400, 127.05630464362547, 37.23961781649707
8326,지온영어수학학원, 경기 광명시 오리로 346, , 경기 광명시 소하동 1380, 경기, 광명시, 소하2동, 423050, 126.87977051170627, 37.43328093338423
8327,지우국어논술전문학원, 경기 용인시 기흥구 죽전로 52, 훼미리프라자, 경기 용인시 기흥구 보정동 1265-3, 경기, 용인시 기흥구, 보정동, 446858, 127.1146700223741, 37.320290779956586
8328,지우학보습학원, 경기 여주시 소양로 117, 지우학원, 경기 여주시 홍문동 233-7, 경기, 여주시, 여흥동, 469102, 127.63393081471311, 37.2896353746637
8329,지유정영어학원, 경기 안양시 동안구 평촌대로 107, 흥일빌딩, 경기 안양시 동안구 호계동 1073, 경기, 안양시 동안구, 신촌동, 431827, 126.96042225128794, 37.38156643411404
8330,지인학원, 경기 화성시 봉담읍 동화새터길 96, , 경기 화성시 봉담읍 동화리 597-2, 경기, 화성시, 봉담읍, 445893, 126.95949862999663, 37.217505361354995
